case_id,case_code,case_name,case_type,confidence_level,vendor_id,vendor_name,sector,year_window,year_start,year_end,has_institution_filter,total_contracts,in_window_contracts,out_window_contracts,noise_pct,total_value_mxn,in_window_value_mxn,out_window_value_mxn
255,EQUIMED_CENTRO_IMSS_PHARMA_DA_RING_69PCT,Equimed del Centro SA de CV IMSS Pharmaceutical DA Ring 69.7%DA - 6.03B,procurement_fraud,high,31377,"EQUIMED DEL CENTRO, S.A. DE C.V.",Salud,2007-2015,2007,2015,no,160,160,0,0.0,6028496161.72,6028496161.72,0.0
256,GAP_DISTRIBUCION_IMSS_LAB_CHEMICALS_DA_72PCT,Distribuidora Quimica y Hospitalaria GAP IMSS Lab Chemicals DA 72.2%DA - 1.33B,procurement_fraud,high,101951,DISTRIBUIDORA QUIMICA Y HOSPITALARIA GAP SA DE CV,Salud,2013-2020,2013,2020,no,235,235,0,0.0,1326556754.25,1326556754.25,0.0
257,LAB_SOLFRAN_IMSS_MEDICINES_DA_RING_55PCT,Laboratorios Solfran SA IMSS/ISSSTE Consolidated Medicines DA Ring 55.6%DA - 2.77B,procurement_fraud,high,149783,"LABORATORIOS SOLFRAN, S.A.",Salud,2015-2025,2015,2025,no,167,167,0,0.0,2766827637.93,2766827637.93,0.0
258,METRO_NET_FEDERAL_IT_DATA_CENTER_DA_MONOPOLY,Metro Net Federal IT Data Center DA Monopoly 100%DA - 2.65B,procurement_fraud,high,80366,METRO NET,Gobernacion,2012-2021,2012,2021,no,31,31,0,0.0,2647899448.22,2647899448.22,0.0
260,SAVARE_MEDIKA_ISSSTE_IMAGING_DA_RING_66PCT,Savare Medika SA de CV ISSSTE Medical Imaging DA Ring 66.7%DA - 1.95B,procurement_fraud,medium,205212,SAVARE MEDIKA SA DE CV,Salud,2017-2025,2017,2025,no,46,46,0,0.0,1950248297.28,1950248297.28,0.0
263,LAMAP_ARMOT_LIMPIEZA_IMSS_SHELLS_2022,LAMAP + ARMOT - Nuevas Empresas Shell Limpieza Hospitalaria IMSS 2021-2022,ghost_company,medium,308216,LAMAP SA DE CV,Infraestructura,2023-2025,2023,2025,no,17,17,0,0.0,4725086340.1,4725086340.1,0.0
263,LAMAP_ARMOT_LIMPIEZA_IMSS_SHELLS_2022,LAMAP + ARMOT - Nuevas Empresas Shell Limpieza Hospitalaria IMSS 2021-2022,ghost_company,medium,291667,ARMOT SEGURIDAD PRIVADA Y SERVICIOS INSTITUCIONALES SA DE CV,Educacion,2023-2025,2023,2025,no,93,93,0,0.0,3660927368.53,3660927368.53,0.0
264,FONATUR_TREN_MAYA_RIELES_DA_SWITCH,Tren Maya Rieles FONATUR - Switch LP a DA 2022 (Asimex del Caribe + Sumitomo),procurement_fraud,low,259308,ASIMEX DEL CARIBE SA DE CV,Hacienda,2020-2022,2020,2022,no,4,4,0,0.0,4467117592.73,4467117592.73,0.0
264,FONATUR_TREN_MAYA_RIELES_DA_SWITCH,Tren Maya Rieles FONATUR - Switch LP a DA 2022 (Asimex del Caribe + Sumitomo),procurement_fraud,low,258808,SUMITOMO CORPORATION DE MEXICO,Hacienda,2020-2022,2020,2022,no,3,3,0,0.0,4069252006.54,4069252006.54,0.0
265,GX2_DESARROLLOS_SINALOA_POTABILIZADORA_SOBREPRECIO,GX2 Desarrollos Sinaloa - Planta Potabilizadora 5.89B empresa nueva 2020,overpricing,low,288609,GX2 DESARROLLOS SA DE CV,Infraestructura,2022-2022,2022,2022,no,2,2,0,0.0,5892537469.03,5892537469.03,0.0
267,MANEJO_INTEGRAL_COMESA_PEMEX_SERVICIOS_2014,Manejo Integral en Consulta Empresarial - COMESA/PEMEX Servicios Especializados 6.3B sin RFC,procurement_fraud,high,136648,MANEJO INTEGRAL EN CONSULTA EMPRESARIAL SA DE CV,Energia,2014-2014,2014,2014,no,2,2,0,0.0,6309331532.36,6309331532.36,0.0
268,ARMOUR_KING_AICM_ISSSTE_SEGURIDAD_NUEVA_EMPRESA_2023,Armour King SA de CV - Empresa Nueva 2019 Captura Seguridad AICM+ISSSTE 2.1B,procurement_fraud,medium,291507,ARMOUR KING SA DE CV,Defensa,2023-2025,2023,2025,no,16,16,0,0.0,2496587101.84,2496587101.84,0.0
269,COLEGIO_KELLER_AC_ISSSTE_ESTANCIAS_INFANTILES_3B,Colegio Particular Keller AC - ISSSTE Estancias Bienestar Infantil 3.14B sin RFC,overpricing,medium,100419,"COLEGIO PARTICULAR KELLER, A.C.",Salud,2010-2024,2010,2024,no,7,7,0,0.0,3140008523.2,3140008523.2,0.0
270,LABS_REGIONALES_IMSS_LEON_RAAM_SOBREPRECIO_CONCENTRACION,Analisis Clinicos de Leon + Lab RAAM Sahuayo - Laboratorios Regionales Capturan IMSS/ISSSTE 3.3B,overpricing,medium,245450,LABORATORIO RAAM DE SAHUAYO,Salud,2005-2025,2005,2025,no,355,355,0,0.0,2339841808.21,2339841808.21,0.0
274,MEDAM_IMSS_BIOMEDICAL_WASTE_DA_RING_62PCT,Medam S de RL de CV IMSS Biomedical Waste (RPBI) DA Ring 62.3%DA - 1.67B,procurement_fraud,high,45114,MEDAM S DE RL DE CV,Salud,2010-2025,2010,2025,no,765,765,0,0.0,1674150463.61,1674150463.61,0.0
275,VANTAGE_INSABI_PHARMA_LOGISTICS_CAPTURE_96PCT,Vantage Servicios Integrales de Salud INSABI Pharma Logistics DA 95.7%DA - 2.35B,procurement_fraud,medium,173854,VANTAGE SERVICIOS INTEGRALES DE SALUD SA DE CV,Salud,2016-2025,2016,2025,no,246,246,0,0.0,2354543710.67,2354543710.67,0.0
